#Menu	#Menu
User =	Felhasználó 
Unidirectional TVS Diode =	Egyirányú TVS  dióda  
Bidirectional TVS Diode =	Kétirányú TVS  dióda  
Diac =	Diac 
Bridge =	Híd 
78XX =	78XX 
79XX =	79XX 
LM317 =	LM317 
LM337 =	LM337 
TL431 =	TL431 
BJT(NPN) =	BJT(NPN) 
BJT(PNP) =	BJT(PNP) 
MOSFET(Nch) =	MOSFET(Nch) 
MOSFET(Nch) Depletion Four-pins =	MOSFET(Nch)  Kimerülés Négy tûs  
MOSFET(Nch) Enhancement =	MOSFET(Nch)  Tartozék  
MOSFET(Nch) Enhancement Four-pins =	MOSFET(Nch)  Enhancement Négy tûs  
MOSFET(Pch) =	MOSFET(Pch) 
MOSFET(Pch) Depletion Four-pins =	MOSFET(Pch)  Kimerülés Négy tûs  
MOSFET(Pch) Enhancement =	MOSFET(Pch)  Tartozék  
MOSFET(Pch) Enhancement Four-pins =	MOSFET(Pch)  Tartozék  Négy tûs  
JFET(Nch) =	JFET(Nch) 
JFET(Pch) =	JFET(Pch) 
Darlington NPN =	Darlington NPN 
Darlington PNP =	Darlington PNP 
MESFET(Nch) =	MESFET(Nch) 
MESFET(Pch) =	MESFET(Pch) 
	
IGBT =	IGBT 
SCR =	SCR 
Triac =	Triac 
Transform(US) =	Transform(US) 
Transform(EU) =	Átalakítás(EU) 
Transfrom(NEUTRAL-CTR TAP)(US) =	Transfrom(NEUTRAL-CTR TAP)(US) 
Transfrom(NEUTRAL-CTR TAP)(EU) =	Transfrom(NEUTRAL-CTR TAP)(EU) 
Mutual Inductors =	Kölcsönös induktorok  
Mutual Inductors2 =	Kölcsönös induktorok2 
Or Gate =	Vagy kapu 
Xor Gate =	Xor kapu 
And Gate =	És a kapu 
Nor Gate =	Sem kapu 
Nand Gate =	Nand kapu 
Not Gate =	Nem kapu 
Xnor Gate =	Xnor kapu 
Tube Diode =	Csõ dióda  
Tube Triode =	Csõ trióda  
Tube Tetrode =	Csõ tetrode  
Tube Pentode =	Csõ Pentode  
Voltage Controlled Switch =	Feszültségvezérelt  kapcsoló  
Current Controlled Switch =	Aktuális vezérelt  kapcsoló  
SPST ON =	SPST BE 
SPST OFF =	SPST KI 
Fuse =	Biztosíték 
555 =	555
555(Style2) =	555(Style2) 
Speaker =	Hangszóró 
XTAL =	XTAL 
5pin Operational Amplifier =	5pin mûködési  erõsítõ  
3pin Operational amplifier =	3pin Mûködési  erõsítõ  
Transmission Line =	Átviteli vonal 
Voltmeter =	Voltmérõ 
Ammeter =	Ammeter 
LAMP =	LÁMPA 
Opto Transistor =	Opto Tranzisztor  
	
#Server Message	#Server üzenet
Need login =	Bejelentkezésre van szükség 
Bad password =	Rossz jelszó  
We can't find your username or your email, please check it! =	Nem  találjuk  a felhasználónevét    vagy az e-mailjét, kérjük,    ellenõrizze!     
Make sure your uploaded file size is less than 3MB! =	Gyõzõdjön meg róla, hogy  a  feltöltött  fájl  mérete  kevesebb,  mint  3MB! 
Bad file type =	Hibás fájltípus    
Empty file or bad file type, ensure your file is Eagle 6.0+ =	Üres fájl  vagy  rossz  fájltípus  , gyõzõdjön megarról,  hogy  a  fájl Eagle 6.0+ 
This operation not supported on demo account =	Ez a mûvelet  nem  támogatott  demo  számlán  
Can not share this file under a private project, please set the active project to public! =	Nem  oszthatja  meg ezt a  fájlt egy privát projekt alatt,  kérjük,    állítsa  be az  aktív  projektet  nyilvánosra  ! 
Login Failed Too many attempts. If you forgot your password, please {0}reset your password{1} or send an email to support@easyeda.com =	Bejelentkezés Nem sikerült  Túl  sok  kísérlet.   Ha  elfelejtette  jelszavát  ,  kérjük  , {0}állítsa vissza  a  jelszavát{1}  vagy  küldjön  e-mailt   a support@easyeda.com 
	
#Dialog Common Buttons	#Dialog közös  gombok
Common Buttons Setting =	Gyakori gombok  beállítása  
Menu Setting... =	Menübeállítás ... 
Show/Hide =	Megjelenítés/elrejtés  
Move Up =	Lépés felfelé  
Move Down =	Lefelé 
Reset All =	Az összes  visszaállítása 
Zoom =	Nagyítás 
Place Pin =	Hely kitûzõ 
	
#System Setting Dialog	#System beállítás  párbeszédpanel
System =	Rendszer 
Zoom Mode =	Nagyítási mód  
Scroll Key =	Görgetõgomb 
CTRL + Scroll =	CTRL + Görgetés  
Canvas Coordinate System =	Vászon koordináta-rendszer  
SVG Coordinate =	SVG koordináta  
Cartesian Coordinate =	Karteziánus koordináta  
Open Wizard Dialog for New Schematic =	Varázsló   párbeszédpanel megnyitása az új  tervrajzhoz   
Default Unit =	Alapértelmezett egység 
Canvas Zoom Effect =	Vászon nagyítási  effektus  
Quality Priority =	Minõségi prioritás  
Speed Priority =	Sebesség prioritás  
Rotation Step =	Forgatási lépés  
Add Teardrop Automatically =	Teardrop  automatikus hozzáadása 
Assign Net for Free Track/Arc/Circle =	Háló hozzárendelése ingyenes  sávhoz /Ív/Kör  
Open Wizard Dialog for New PCB =	A varázsló  párbeszédpanel megnyitása új PCB-hez  
Rebuild Plane Automatically =	Sík  automatikus újraépítése 
The Track's Routing Follows Component's Rotation =	A sáv  útválasztása  az  összetevõ  elforgatása  
Display Pad's Number and Net =	A Pad számának és hálójának  megjelenítése 
Favorite Track width =	Kedvenc sávszélesség    
Track Width Setting =	Sávszélesség  beállítása  
	
	
#Dialog Access Control	#Dialog hozzáférés-vezérlés
Permissions =	Engedélyek 
Operation =	Mûvelet 
Access Control =	Hozzáférés-vezérlés  
Project Access Control =	Projekthozzáférés-vezérlés   
Reject =	Elutasítás 
Add User =	Felhasználó hozzáadása 
Bad email address =	Rossz e-mail  cím  
	
#error info from backend	#error információ   a háttérbõl  
Can't find this email address in EasyEDA. Your partner must be an EasyEDA user. =	Nem található  ez az  e-mail-cím   az EasyEDA-ban.   Partnerének EasyEDA  felhasználónak kell lennie .
	
#Dialog waveForm	#Dialog hullámForm
Grid Background =	Rács háttere  
Pane Background =	Ablaktábla háttere  
WaveForm Config =	WaveForm Config  
Export Waveform =	Hullámforma  exportálása 
	
	
#attr-canvas-grid-style	#attr-vászon-rács stílusú
dot =	dot 
line =	sor 
	
#attr-canvas-frame-size	#attr vászon-keret méretû
Other =	Egyéb 
A4 Portrait =	A4 Portré  
A4 Landscape =	A4 Fekvõ  
A3 Portrait =	A3 Portré  
A3 Landscape =	A3 Fekvõ  
A2 Portrait =	A2 Portré  
A2 Landscape =	A2 fekvõ  
A1 Portrait =	A1 Portré  
A1 Landscape =	A1 Fekvõ  
Landscape =	Fekvõ 
Portrait =	Álló 
	
#Stroke Style	#Stroke stílus
solid =	szilárd 
dashed =	szaggatott 
dotted =	pontozott 
	
#Solid Region	#Solid régió
Solid Region =	Szilárd régió  
Type =	Típus 
type =	típus 
	
#Dialog Libs Management	#Dialog Libs  menedzsment
Report error =	Jelentési hiba  
Please give us some information to help us find the problem. =	Kérjük, adjon  nekünk  néhány  információt,  hogy  segítsen  megtalálni    a  problémát.
"Cannot place parts into this document: Schematic Symbols can only be placed into a Schematic; PCB Footprints can only be placed into a PCB. ="	"Nem lehet       részeket  helyezni   ebbe a  dokumentumba  :  Sematikus  szimbólumok  csak sematikus; A PCB  lábnyomok    csak  PCB-be    helyezhetõk.   "
Save it as a favorite part =	Mentse  kedvenc    részként  
Only logged-in users can save this component as a Favorite Part but guest (Anonymous) users can place this component into their design directly. Would you like to place this component now? =	Csaka  bejelentkezett  felhasználók  menthetik    ezt az  összetevõt kedvenc   alkatrészként,   de  a vendég  (Névtelen)  felhasználók közvetlenül elhelyezhetik    ezt az  összetevõt a tervükbe  .   Most     szeretné    elhelyezni  ezt az  összetevõt ? 
	
#Others	#Others
Find libs =	Libs  keresése 
My Projects =	Saját projektek  
My Parts =	Saját részek  
My Modules =	Saját modulok  
Assembly LCSC Components =	Összeszerelés LCSC alkatrészek  
Modules =	Modulok 
SCH Module =	SCH modul  
PCB Module =	PCB modul  
System IC =	Rendszer IC 
LCSC (Official) =	LCSC (Hivatalos) 
LCSC Electronics =	LCSC Elektronika 
Simple Mode =	Egyszerû mód  
Expand Mode =	Bontsa ki a módot  
Help Verify =	Súgó ellenõrzése  
Favorite Parts =	Kedvenc részek  
Shared With Me =	Megosztva  velem  
Preview =	Elõnézet 
Preview Window =	Elõnézeti ablak  
System Default =	A rendszer alapértelmezett  
User Defined =	Felhasználó definiálva  
Theme =	Téma 
Theme Setting =	Téma beállítása  
Close =	Bezárás 
Open =	Megnyitás 
Toggle toolbar =	Eszköztár  váltása 
Toggle left bar =	Váltás bal  sáv 
Toggle right bar =	Jobbra váltás  
Reload =	Újratöltés 
Mouse-X =	Egér-X 
Mouse-Y =	Egér-Y 
Mouse-DX =	Egér-DX 
Mouse-DY =	Egér-DY 
Bus entry x1 =	Buszjárat   x1 
Bus entry x2 =	Buszjárat   x2 
Bus entry y1 =	Buszjárat   y1 
Bus entry y2 =	Buszjárat   y2 
Yes =	Igen 
No =	Nem 
OK =	OK 
Confirm =	Megerõsítés 
Continue =	Folytatás 
Cancel =	Mégse 
Update =	Frissítés 
Bus entry =	Buszbelépõ  
Filter =	Szûrõ 
Check =	Ellenõrzés 
	
Copy the contents of this box into a text editor, then save the file. Paste the edited text back into this box and click Apply to update the display. =	Másolja a   mezõ  tartalmát   egy szövegszerkesztõbe,  majd  mentse  a  fájlt.   Illessze be a     szerkesztett  szöveget ebbe  a  mezõbe,  majd  kattintson a  Alkalmaz gombra a kijelzõ frissítéséhez.   
Copy the contents of this box into a text editor, then save the file with a .svg extension. You can edit it in Inkscape or open it in your browser. =	Másolja  a  mezõ    tartalmát  egy szövegszerkesztõbe,  majd  mentse  a  fájlt    egy .   svg  kiterjesztés. Szerkesztheti     az Inkscape-ben,  vagy     megnyithatja   a  böngészõben.  
Content is too big to show, you can download it directly. =	A tartalom túl nagy     ahhoz, hogy  megmutassa,  közvetlenül   letöltheti .  
SVG format =	SVG formátum  
SVG File =	SVG fájl 
Description should be no more than 250 letters =	A  leírás nem lehet több,  mint  250  betû  
The file save operation has timed out. Try again and check your Internet connection. =	A fájlmentõ  mûvelet   idõt kért.   Próbálkozzon  újra, és  ellenõrizze  az internetkapcsolatot.   
Export Netlist =	Netlista exportálása  
Notifications =	Értesítések 
Please select txt or json files. =	Válassza ki  a txt  vagy  json  fájlokat. 
Failed to read file [{file}] =	Nem sikerült olvasni  a  fájlt [{file}] 
[{file}] is not a valid json file =	[{file}] nem   érvényes  json fájl 
Invalid parameters! =	Érvénytelen paraméterek! 
Download =	Letöltés 
Start =	Kezdés 
You have unsaved files, are you sure you want to log out without saving the files? =	Nem mentett       fájlokattartalmaz,  biztosan  kijelentkezést  szeretne       a  fájlok mentése  nélkül ?
Please use the web version to run this function. =	Kérjük, használja  a  webes verziót  a  függvény futtatásához   . 
Please save this file to you project! =	Kérjük, mentse  ezt a  fájlt,  hogy a    projekt! 
Nothing changed =	Semmi sem változott  
Delete Node =	Csomópont törlése 
This layer is invisible. =	Ez a  réteg láthatatlan. 
When the solid region is Board Cutout, please set the layer to Multi-Layer. =	Ha a  szilárd  terület    a  Táblakivágás,  állítsa  a  réteget  többréteg     értékre.
You should not try to assign a net to a Board Cutout solid region. =	  Ne  próbáljon  hálót  hozzárendelni    egy  táblakivágási  szilárd  régióhoz  . 
Net Length =	Nettó hossz  
You can place a Pin in the schematic, but don't forget to group all of the Pins to a schematic component. Please click the help button to find out how to group them. If you just want to mark the wire, please use NetPort or NetLabel. =	Elhelyezhet egy     pint  a  sematikus területen,  de  ne  felejtse el az  összes   pint   sematikus  összetevõhöz   csoportosítani.    Kérjük,  kattintson  a  súgó  gombra,  hogy      megtudja,  hogyan  csoportosítja  õket. Ha    csak meg szeretné  jelölni  a vezetéket, kérjük,    használja a  NetPort  vagy  a NetLabel.
Please input the modification =	Kérjük, adja meg  a  módosítást  
The content must be between {0} and {1} characters =	A tartalomnak  {0} és {1}  karakter között  kell lennie  
	
Coming soon =	Hamarosan  
No tool =	Nincs eszköz  
Help us translate into your language =	Segítsen nekünk  lefordítani  az Ön  nyelvére    
Pad =	Pad 
Via/Hole =	Via/Hole  
PCB Layers =	NYÁK rétegek  
Order PCB =	PCB rendelés 
Share =	Megosztás 
Free =	Ingyenes 
Small =	Kicsi 
Medium =	Közepes 
Big =	Nagy 
	
	
Embed =	Beágyazás 
HTML =	HTML 
URL =	URL 
BBCode =	BBCode 
PNG =	PNG 
Exporting as =	Exportálás   
Exporting as image =	Exportálás képként  
Exporting as {0}SVG{1} file. =	Exportálás {0}SVG{1} fájlként.  
Exporting as pdf is recommended: pdf gives good quality printed output and a small file size. =	Exportálás pdf  formátumban ajánlott:pdf  ad  jó  minõségû nyomtatott kimenet és egy  kis  fájlméret  . 
Generate PCB Fabrication File(Gerber) =	PCB gyártási fájl  létrehozása  (Gerber) 
PenWidth-Increase =	PenWidth-Increase 
	
#Generate Gerber	Gerber #Generate
Generate Gerber =	Gerber  létrehozása
Gerber View =	Gerber nézet  
Dimensions(Estimated) =	Méretek(Becsült) 
PCB Qty =	PCB Qty  
Copper Weight =	Réz súlya  
PCB Price =	PCB ár 
Estimated Delivery Time =	Becsült szállítási  idõ 
	
HASL(with lead) =	HASL  (ólommal) 
LeadFree HASL-RoHS =	LeadFree HASL-RoHS 
ENIG-RoHS =	ENIG-RoHS 
Would you like to do Design Rule Checking (DRC) before generating the Gerber files? =	A  Gerber-fájlok  létrehozása elõtt  szeretné    elvégezni  a  Tervezési  szabályellenõrzést  (DRC) ?    
Yes, Check DRC =	Igen,  Ellenõrizze  a DRC 
No, Generate Gerber =	Nem, Gerber generálása  
This PCB has uncompleted connection(s), do you want to check the connection(s)? =	Ez a NYÁK        befejezetlen  kapcsolattal(ok)  rendelkezik,  ellenõrzi  a  kapcsolatot(ek)t? 
Yes, Check Connection(s) =	Igen,  Csatlakozás(ok) ellenõrzése  
It will then redirect to the web site of a thirdparty JLCPCB with which we cooperate. Are you ready? =	  Ezután  átirányítja    a  weboldalra egy  harmadik fély  JLCPCB,    amellyel  együttmûködünk  . Készen  állsz?  
Failed to submit your order, please contact us via support@easyeda.com for help. =	Nem sikerült leadni   a megrendelést,  kérjük,  vegye fel velünk a  kapcsolatot  support@easyeda.com  keresztül segítségért  . 
Failed to submit your order, please contact us via QQ 800821856. =	Nem sikerült  leadni  a megrendelést,  kérjük,  vegye fel velünk a  kapcsolatot  a QQ 800821856.   
Order data generated finish, please click OK button and continue. =	A generált  adatok sorrendje ,  kattintson  az  OK  gombra,  és  folytassaa .
[generateGerber]	[generateGerber]
Layers =	Rétegek 
[/generateGerber]	[/generateGerber]
	
[version]	[verzió]
Switch =	Kapcsoló 
[/version]	[/verzió]
	
	
Export your file, then print it yourself. =	Exportálja a  fájlt,  majd  maga nyomtassa ki    . 
Trace width is too small =	A nyomkövetési  szélesség túl  kicsi  
Share =	Megosztás 
	
Images Attribute =	Képek attribútum  
Connect Pad to Pad =	Csatlakoztassa a padot  a padhoz  
Copper Area =	Réz terület  
Dimension =	Dimenzió 
	
	
Please check that you have used Wire and not Line to connect electrical elements. =	Kérjük,   ellenõrizze, hogy a Huzalt      használta-e,  és  nem a Line-t az elektromos  elemek  csatlakoztatásához   . 
PCB Fabrication Prices & capabilities =	PCB gyártási  árak  és  képességek  
Flip all texts on bottom layer =	Az összes szöveg tükrözés  az alsó  rétegen    
Create New Document =	Új  dokumentum létrehozása 
General Package =	Általános csomag  
General Packages =	Általános csomagok  
favorite Package =	kedvenc csomag  
Board Cutout =	Táblakivágás  
Surface Mount =	Felületi tartó 
JLCPCB Part Class =	JLCPCB részosztály  
base =	alap 
expand =	expand 
recommend =	ajánlom 
Basic Part =	Alaprész 
Extended Part =	Kiterjesztett rész 
Recommended Part =	Ajánlott rész 
smtWeld =	smtWeld 
thtWeld =	thtWeld 
manualWeld =	manualWeld 
furnaceWeld =	kemenceWeld 
Multi-Layer =	Többréteg  
Markdown Syntax =	Markdown szintaxis  
Markdown supported =	Markdown támogatott  
Read only =	Csak olvasható 
Read/Write =	Olvasás/írás  
More Libraries... =	További könyvtárak... 
Decompress failed! =	A dekompresszió nem sikerült!
Load failed! =	A terhelés nem sikerült! 
Loading =	Betöltés 
No Result =	Nincs eredmény  
	
#Dialog Place Pin in schematic warning	#Dialog Pin place pin a sematikus  figyelmeztetésben  
Place Pin in schematic warning =	Pin helyezve a sematikus  figyelmeztetést    
You can place a Pin in schematic, but don't forget to group all of the Pins to a schematic component, please click the help button to find out how to group them. If you just want to mark the wire, please use NetPort or NetNabel. =	Elhelyezhet egy     pint a  sematikus,  de  ne  felejtse el   az  összes  pint   sematikus  összetevõre   csoportosítani   , kérjük,    kattintson a súgógombra,  hogy          megtudja,  hogyan  csoportosíthatja  õket .  Ha    csak meg szeretné  jelölni  a vezetéket, kérjük,    használja a  NetPortot  vagy a NetNabel -t.
I know. Do not show this again. =	Tudom , tudom. Ne    jelenjen meg  még  egyszer 
	
#Extensions Setting	#Extensions beállítás
Extensions Setting =	Bõvítmények beállítása  
Remove =	Eltávolítás 
Disable =	Letiltás 
Enable =	Engedélyezés 
(Disabled) =	(Letiltva) 
(Enabled) =	(Engedélyezve) 
Load Extension =	Terhelési kiterjesztés  
Enable or disable will be applied after reload page =	Az engedélyezés vagy  letiltás  az   oldal  újratöltése  után kerül alkalmazásra  
Your browser cannot run this function. =	A böngészõ  nem tudja  futtatni ezt a  funkciót.
Your browser mode does not support indexedDB. Some features may not work properly. Are you using Private Browsing Mode? =	A böngészõ  mód  nem    támogatja  az indexeltDB parancsot. Elõfordulhat,  hogy egyes funkciók  nem  mûködnek  megfelelõen. Privát      böngészési  módot használ? 
Extension Files =	Kiterjesztési fájlok  
Extension ID =	Kiterjesztés azonosító 
Select Files =	Fájlok   kiválasztása
	
#Scripts	#Scripts
Script =	Script 
Scripts =	Szkriptek 
Script Content =	Parancsfájl tartalma  
Load from js file =	Terhelés js  fájlból  
UTF-8 encoded js file =	UTF-8 kódolt  js fájl 
Description =	Leírás 
description =	leírás 
Not a *.js file =	Nem egy *. js  fájl 
Failed to read file =	Nem sikerült beolvasni  a  fájlt 
System scripts cannot be modified =	A rendszer parancsfájljai nem  módosíthatók     
Create Subfolder =	Almappa létrehozása 
Create Script =	Parancsfájl létrehozása 
Install Script =	Parancsfájl telepítése 
Install =	Telepítés 
Are you sure you want to remove this script? =	  Biztosan      eltávolítja  ezt a  szkriptet?   
Folder Name =	Mappa neve  
Rename =	Átnevezés 
Please select a script =	Válasszon ki  egy szkriptet 
Failed to load script =	Nem sikerült betölteni  a  parancsfájlt 
Run Script =	Parancsfájl futtatása 
Load Script =	Parancsfájl betöltése 
Title is required =	A cím szükséges  
Script content is required =	Parancsfájltartalom    szükséges  
System Scripts =	Rendszerszkriptök  
User Scripts =	Felhasználói parancsfájlok  
You can right click on the tree nodes. =	Kattintson   a jobb gombbal    a  facsomópontokra.     
	
#PCB photoView toolbar	#PCB photoView  eszköztár
Top Side =	Felsõ oldal  
Bottom Side =	Alsó oldal  
With Silk Layer =	Selyemréteg     
No Silk Layer =	Nincs selyemréteg    
Photo View =	Fotó nézet  
	
#check update	#check frissítés
Check Update =	Frissítés ellenõrzése 
EasyEDA Editor {ver} is released. Would you like to switch to the new version now? =	Megjelentaz EasyEDA Editor {ver} .   Szeretne    most átváltani  az  új  verzióra ?  
LCEDA Editor {ver} is released. Would you like to switch to the new version now? =	Megjelentaz LCEDA Editor {ver}.   Szeretne    most átváltani  az  új  verzióra ?  
Switch to New Version =	Váltás új verzióra  
Next Time =	Következõ alkalommal 
	
#download project dialog	#download projekt párbeszédablaka
Generating download link... =	Letöltési  link generálása... 
Download project now =	Projekt letöltése most  
	
#Import DXF	#Import DXF
Import DXF =	DXF importálása 
Apply Unit =	Egység alkalmazása 
Convert circle to HOLE on BoardOutLine layer =	Kör  konvertálása  HOLE-ra a  BoardOutLine  rétegen    
No shapes found =	Nem található alakzat  
Fail to load the file =	Nem sikerült betölteni    a fájlt 
Please select a DXF file. =	Válasszon ki  egy DXF fájlt. 
This feature only works for PCB document. =	Ez a funkció  csak  PCB-dokumentum   esetén  mûködik . 
Select a DXF file =	Válasszon ki egy DXF fájlt 
	
#Export DXF	#Export DXF
Export DXF =	DXF exportálása 
Plated-Through-Hole Pads =	Bevont lyukú párnák  
Non-Plated-Through-Hole Pads =	Nem bevont-áttetszõ furatpárnák   
Silkscreen =	Selyemvédõ 
Surface Pad =	Surface Pad 
	
#Data Sync	#Data Szinkronizálás
Data Sync =	Adatszinkronizálás  
Data Conflicts =	Adatütközések  
Project or Document =	Projekt vagy  dokumentum  
Cloud-Side =	Felhõoldal 
Local-Side =	Helyioldal  
Decision =	Döntés 
Modified =	Módosítva 
Deleted =	Törölve 
As Cloud =	Felhõként  
As Local =	Helyiként 
Skip =	Kihagyás 
Data sync completed =	Adatszinkronizálás  befejezõdött  
	
#Team	#Team
Team =	Csapat 
Teams =	Csapatok 
Switching team =	Váltási csapat 
Switch team failed =	A csapatváltás sikertelen  
Load team info fail! =	A csapatadatok   betöltése sikertelen! 
Load team info fail! Please reload. =	A csapatadatok   betöltése sikertelen! Kérjük,  töltse be újra.
My Teams =	Saját csapatok  
Create Team =	Csapat létrehozása 
	
#Dialog Footprint Manager	#Dialog lábnyomkezelõ  
Footprint Manager =	Lábnyomkezelõ 
Open Footprint Manager =	Footprint   Manager megnyitása 
Schematic Components =	Sematikus összetevõk  
Edit Pin Map Information =	Pin térkép adatainak szerkesztése 
Package Categories =	Csomagkategóriák  
Components List =	Összetevõk listája 
Personal =	Személyes 
Component PIN information =	Összetevõ PIN-kódja    
Footprint PAD information =	Footprint PAD  információk  
Footprint Categories =	Lábnyom kategóriák  
Pad Number =	Pad száma  
Search Footprint =	Keresési lábnyom  
Filter by keyword =	Szûrés kulcsszó szerint  
System Libs =	Rendszer Libs  
	
#dialog global delete	#dialog globális   törlés
Drawings =	Rajzok 
Netlabel and netFlag =	Netlabel és  netFlag  
Texts =	Szövegek 
Wires =	Vezetékek 
Board outlines =	Tábla körvonalai  
Footprints =	Lábnyomok 
Footprint =	Lábnyom 
Tracks =	Zeneszámok 
	
#dialog board outline settings	#dialog tábla   vázlatbeállításai  
Current Size =	Aktuális méret  
Paramenters =	Paramenters 
Start X: =	X kezdet: 
Start Y: =	Y indítása: 
Round Rectangular =	Kerek téglalap   
radius =	sugár 
only number is allowed! =	csak a szám  megengedett!  
please input valid value of width! =	kérjük, adja meg  a  szélesség érvényes  értékét! 
please input valid value of height! =	kérjük, adja meg  a  magasság érvényes  értékét! 
please input valid value of radius! =	kérjük, adja meg  a  sugár érvényes  értékét !
	
#cross probe	#cross szonda
The object you selected was not found in other documents. =	A   kijelölt   objektum  nem  található más  dokumentumokban . 
No valid object for cross probe selected. =	Nincs érvényes  objektum a kijelölt  keresztszonda  számára   . 
Can not probe. Refreshing the window may get it to work. =	Nem lehet  szondázni. Az    ablak frissítése       mûködõképes lehet . 
You need to login for this function to work. =	Be kell  jelentkeznie  ahhoz,  hogy  ez a  funkció  mûködjön.  
	
#About Dialog	#About párbeszédpanel
An Easier EDA Experience =	Könnyebb  EDA  élmény  
Version =	Verzió 
BuiltDate =	BuiltDate 
	
#Auto Router Dialog	#Auto útválasztó párbeszédpanel
Auto Router Config =	Automatikus útválasztó  konfiguráció  
General Options =	Általános beállítások  
All Layers =	Minden réteg  
Configure =	Konfigurálás 
Sorry, your web browser does not support this feature. Please run a modern browser. =	Sajnáljuk,  a  webböngészõ  nem    támogatja  ezt a  funkciót. Kérjük,  futtasson  egy modern böngészõt. 
Please make sure all objects with net are inside the board outline! =	Kérjük, gyõzõdjön meg  róla, hogy  minden  hálóval  rendelkezõ  objektum  a  tábla  körvonalán  belül van! 
Cannot start again before previous activity is stopped =	Nem lehet újrakezdeni  az  elõzõ  tevékenység leállítása elõtt  
Please select a net =	Válasszon   egy net 
TrackWidth cannot be empty =	TrackWidth nem  lehet  üres  
Clearance cannot be empty =	A clearance nem  lehet  üres  
Router is time out. =	Router idõt ad.  
Server is busy, please try again later. =	A kiszolgáló foglalt,  próbálkozzon    újra  késõbb. 
Due to the limitation of {0}router server{1} resources, multiple routers executing concurrently are not supported, please try again later or do it manually :-) =	A     {0}router  server{1}  resources  korlátozása miatt az egyidejûleg    végrehajtó több  útválasztó  nem  támogatott, próbálkozzon   késõbb újra,  vagy  manuálisan   végezze    el :-) 
Track Width is invalid =	A sáv szélessége   érvénytelen  
General Clearance is invalid =	Az általános clearance   érvénytelen  
SMD Clearance is invalid =	Az SMD clearance érvénytelen  
Diameter is invalid =	Az átmérõ érvénytelen  
Drill Diameter is invalid =	A fúró átmérõje   érvénytelen  
Track width cannot be less than Design Rule Checking (DRC) setting value. =	A követési szélesség  nem lehet kisebb,  mint a Tervezési  szabályellenõrzés    (DRC)  beállítási  értéke.
General Clearance cannot be less than Design Rule Checking (DRC) setting value. =	Az általános clearance  nem  lehet kisebb,  mint  a tervezési  szabályellenõrzés    (DRC)  beállítási  értéke.
SMD Clearance cannot be less than Design Rule Checking (DRC) setting value. =	Az SMD clearance  nem lehet kisebb,  mint a tervezési  szabályellenõrzés    (DRC)  beállítási  értéke.
Hole size cannot be less than Design Rule Checking (DRC) setting value. =	A furat mérete  nem lehet kisebb,  mint a Tervezési  szabályellenõrzés    (DRC)  beállítási  értéke.
Design Rule's via diameter must larger than via drill diameter =	A tervezési szabály    átmérõjének  nagyobbnak kell,    mint  a  fúró  átmérõje  
Clearance cannot be less than Design Rule Checking (DRC) setting value. =	A clearance nem  lehet kisebb,  mint a tervezési  szabályellenõrzés    (DRC)  beállítási  értéke.
Not a valid PCB, please check it again =	Nem  érvényes  PCB, kérjük,    ellenõrizze    újra 
Previous connection must be closed =	Az elõzõ kapcsolatot le kell  zárni  
Network error. Please try again. =	Hálózati hiba. Próbálkozzon    újra. 
Router error. =	Útválasztó hibája. 
Invalid PCB. =	Érvénytelen PCB. 
General Clearance =	Általános clearance  
SMD Clearance =	SMD clearance  
#Ripup Nets	#Ripup hálók
Skip Routed Nets =	Útvonalas  hálók kihagyása  
Remove Existing Tracks =	Meglévõ  sávok eltávolítása 
Real-time Display =	Valósidejû  megjelenítés 
Router Layers =	Útválasztó rétegek  
Via =	Utca 
Special =	Speciális 
Special Nets =	Speciális hálók  
Skip Nets =	Hálók kihagyása  
Router Server =	Útválasztó-kiszolgáló 
Local =	Helyi 
Cloud =	Felhõ 
Available =	Elérhetõ 
Unavailable =	Nem érhetõ el 
Checking =	Ellenõrzés 
Install Local Auto Router =	Helyi  automatikus útválasztó telepítése 
Checking local auto router server... =	A helyi  automatikus  útválasztó-kiszolgáló ellenõrzése... 
Stop Router =	Stop Router 
Auto Router is running... =	Automatikus router  fut...
	
#Left Siderbar	#Left oldalsáv
EELib =	EELib 
Basic =	Alap 
Extend =	Extend 
Design Manager =	Design Manager 
Library =	Könyvtár 
Spice Library =	Spice Könyvtár  
Shared =	Megosztott 
LCSC =	LCSC 
LCSC Parts =	LCSC alkatrészek  
Supply Flag =	Ellátási jelzõ  
US =	US 
EU/IEC =	EU/IEC 
US Style =	Amerikai stílus  
Resistor =	Ellenállás 
Capacitor =	Kondenzátor 
Inductor =	Induktor 
Switch/Key =	Kapcsoló/Kulcs 
EU/IEC Style =	EU/IEC stílus  
CN =	CN 
Connector =	Csatlakozó 
Switch/Relay =	Kapcsoló/Relé  
JLCPCB =	JLCPCB 
Recycle Bin =	Lomtár 
	
#Protractor	#Protractor
Font Height =	Betûmagasság   
Precision =	Pontosság 
Protractor =	Szögmérõ 
	
#attr-pcbtext-line-width	#attr-pcbtext-vonalszélesség
Only default font family supports to change font width. =	Csak az alapértelmezett  betûcsalád    támogatja  a betûszélesség módosítását  . 
